Year	Area	Variable	Generation (TWh)	Share of production (%)	Change on last year (%)	Change on last year (TWh)
2000	Austria	Fossil	16	27		
2000	Austria	Coal	6	10		
2000	Austria	Hard Coal	4	7		
2000	Austria	Lignite	1	2		
2000	Austria	Gas	8	13		
2000	Austria	Other fossil	3	5		
2000	Austria	Nuclear	0	0		
2000	Austria	Renewables	43	73		
2000	Austria	Hydro	42	70		
2000	Austria	Wind and solar	0	0		
2000	Austria	Wind	0	0		
2000	Austria	Solar	0	0		
2000	Austria	Bioenergy	2	3		
2000	Austria	Other renewables	0	0		
2000	Austria	Production	60			
2000	Austria	Net imports	-1			
2000	Austria	Demand	58			
2000	Belgium	Fossil	34	41		
2000	Belgium	Coal	13	16		
2000	Belgium	Hard Coal	13	16		
2000	Belgium	Lignite	0	0		
2000	Belgium	Gas	16	19		
2000	Belgium	Other fossil	5	6		
2000	Belgium	Nuclear	48	58		
2000	Belgium	Renewables	1	1		
2000	Belgium	Hydro	0	1		
2000	Belgium	Wind and solar	0	0		
2000	Belgium	Wind	0	0		
2000	Belgium	Solar	0	0		
2000	Belgium	Bioenergy	1	1		
2000	Belgium	Other renewables	0	0		
2000	Belgium	Production	83			
2000	Belgium	Net imports	4			
2000	Belgium	Demand	87			
2000	Bulgaria	Fossil	20	49		
2000	Bulgaria	Coal	17	42		
2000	Bulgaria	Hard Coal	3	7		
2000	Bulgaria	Lignite	14	34		
2000	Bulgaria	Gas	2	5		
2000	Bulgaria	Other fossil	1	2		
2000	Bulgaria	Nuclear	18	45		
2000	Bulgaria	Renewables	3	6		
2000	Bulgaria	Hydro	3	6		
2000	Bulgaria	Wind and solar	0	0		
2000	Bulgaria	Wind	0	0		
2000	Bulgaria	Solar	0	0		
2000	Bulgaria	Bioenergy	0	0		
2000	Bulgaria	Other renewables	0	0		
2000	Bulgaria	Production	41			
2000	Bulgaria	Net imports	-5			
2000	Bulgaria	Demand	36			
2000	Croatia	Fossil	5	43		
2000	Croatia	Coal	2	14		
2000	Croatia	Hard Coal	2	14		
2000	Croatia	Lignite	0	0		
2000	Croatia	Gas	2	14		
2000	Croatia	Other fossil	2	15		
2000	Croatia	Nuclear	0	0		
2000	Croatia	Renewables	6	57		
2000	Croatia	Hydro	6	57		
2000	Croatia	Wind and solar	0	0		
2000	Croatia	Wind	0	0		
2000	Croatia	Solar	0	0		
2000	Croatia	Bioenergy	0	0		
2000	Croatia	Other renewables	0	0		
2000	Croatia	Production	11			
2000	Croatia	Net imports	3			
2000	Croatia	Demand	15			
2000	Cyprus	Fossil	3	100		
2000	Cyprus	Coal	0	0		
2000	Cyprus	Hard Coal	0	0		
2000	Cyprus	Lignite	0	0		
2000	Cyprus	Gas	0	0		
2000	Cyprus	Other fossil	3	100		
2000	Cyprus	Nuclear	0	0		
2000	Cyprus	Renewables	0	0		
2000	Cyprus	Hydro	0	0		
2000	Cyprus	Wind and solar	0	0		
2000	Cyprus	Wind	0	0		
2000	Cyprus	Solar	0	0		
2000	Cyprus	Bioenergy	0	0		
2000	Cyprus	Other renewables	0	0		
2000	Cyprus	Production	3			
2000	Cyprus	Net imports	0			
2000	Cyprus	Demand	3			
2000	Czech Republic	Fossil	57	78		
2000	Czech Republic	Coal	53	72		
2000	Czech Republic	Hard Coal	6	8		
2000	Czech Republic	Lignite	47	65		
2000	Czech Republic	Gas	2	2		
2000	Czech Republic	Other fossil	3	4		
2000	Czech Republic	Nuclear	14	19		
2000	Czech Republic	Renewables	2	3		
2000	Czech Republic	Hydro	2	2		
2000	Czech Republic	Wind and solar	0	0		
2000	Czech Republic	Wind	0	0		
2000	Czech Republic	Solar	0	0		
2000	Czech Republic	Bioenergy	1	1		
2000	Czech Republic	Other renewables	0	0		
2000	Czech Republic	Production	73			
2000	Czech Republic	Net imports	-10			
2000	Czech Republic	Demand	63			
2000	Denmark	Fossil	30	85		
2000	Denmark	Coal	17	46		
2000	Denmark	Hard Coal	17	46		
2000	Denmark	Lignite	0	0		
2000	Denmark	Gas	9	24		
2000	Denmark	Other fossil	5	14		
2000	Denmark	Nuclear	0	0		
2000	Denmark	Renewables	6	15		
2000	Denmark	Hydro	0	0		
2000	Denmark	Wind and solar	4	12		
2000	Denmark	Wind	4	12		
2000	Denmark	Solar	0	0		
2000	Denmark	Bioenergy	1	4		
2000	Denmark	Other renewables	0	0		
2000	Denmark	Production	36			
2000	Denmark	Net imports	1			
2000	Denmark	Demand	37			
2000	Estonia	Fossil	8	100		
2000	Estonia	Coal	0	0		
2000	Estonia	Hard Coal	0	0		
2000	Estonia	Lignite	0	0		
2000	Estonia	Gas	1	7		
2000	Estonia	Other fossil	8	93		
2000	Estonia	Nuclear	0	0		
2000	Estonia	Renewables	0	0		
2000	Estonia	Hydro	0	0		
2000	Estonia	Wind and solar	0	0		
2000	Estonia	Wind	0	0		
2000	Estonia	Solar	0	0		
2000	Estonia	Bioenergy	0	0		
2000	Estonia	Other renewables	0	0		
2000	Estonia	Production	9			
2000	Estonia	Net imports	-1			
2000	Estonia	Demand	8			
2000	EU-27	Fossil	1358	52		
2000	EU-27	Coal	795	30		
2000	EU-27	Hard Coal	455	17		
2000	EU-27	Lignite	340	13		
2000	EU-27	Gas	328	12		
2000	EU-27	Other fossil	235	9		
2000	EU-27	Nuclear	860	33		
2000	EU-27	Renewables	411	16		
2000	EU-27	Hydro	355	13		
2000	EU-27	Wind and solar	22	1		
2000	EU-27	Wind	21	1		
2000	EU-27	Solar	0	0		
2000	EU-27	Bioenergy	29	1		
2000	EU-27	Other renewables	5	0		
2000	EU-27	Production	2629			
2000	EU-27	Net imports	9			
2000	EU-27	Demand	2638			
2000	EU27+1	Fossil	1638	55		
2000	EU27+1	Coal	915	30		
2000	EU27+1	Hard Coal	575	19		
2000	EU27+1	Lignite	340	11		
2000	EU27+1	Gas	476	16		
2000	EU27+1	Other fossil	246	8		
2000	EU27+1	Nuclear	945	31		
2000	EU27+1	Renewables	421	14		
2000	EU27+1	Hydro	360	12		
2000	EU27+1	Wind and solar	22	1		
2000	EU27+1	Wind	22	1		
2000	EU27+1	Solar	0	0		
2000	EU27+1	Bioenergy	33	1		
2000	EU27+1	Other renewables	5	0		
2000	EU27+1	Production	3004			
2000	EU27+1	Net imports	23			
2000	EU27+1	Demand	3027			
2000	Finland	Fossil	24	34		
2000	Finland	Coal	8	12		
2000	Finland	Hard Coal	8	12		
2000	Finland	Lignite	0	0		
2000	Finland	Gas	10	15		
2000	Finland	Other fossil	5	8		
2000	Finland	Nuclear	22	32		
2000	Finland	Renewables	23	34		
2000	Finland	Hydro	15	21		
2000	Finland	Wind and solar	0	0		
2000	Finland	Wind	0	0		
2000	Finland	Solar	0	0		
2000	Finland	Bioenergy	9	12		
2000	Finland	Other renewables	0	0		
2000	Finland	Production	70			
2000	Finland	Net imports	12			
2000	Finland	Demand	82			
2000	France	Fossil	51	9		
2000	France	Coal	27	5		
2000	France	Hard Coal	27	5		
2000	France	Lignite	0	0		
2000	France	Gas	12	2		
2000	France	Other fossil	12	2		
2000	France	Nuclear	415	78		
2000	France	Renewables	69	13		
2000	France	Hydro	66	12		
2000	France	Wind and solar	0	0		
2000	France	Wind	0	0		
2000	France	Solar	0	0		
2000	France	Bioenergy	2	0		
2000	France	Other renewables	1	0		
2000	France	Production	535			
2000	France	Net imports	-69			
2000	France	Demand	466			
2000	Germany	Fossil	365	64		
2000	Germany	Coal	291	51		
2000	Germany	Hard Coal	143	25		
2000	Germany	Lignite	148	26		
2000	Germany	Gas	49	9		
2000	Germany	Other fossil	24	4		
2000	Germany	Nuclear	170	30		
2000	Germany	Renewables	38	7		
2000	Germany	Hydro	25	4		
2000	Germany	Wind and solar	10	2		
2000	Germany	Wind	10	2		
2000	Germany	Solar	0	0		
2000	Germany	Bioenergy	3	1		
2000	Germany	Other renewables	0	0		
2000	Germany	Production	572			
2000	Germany	Net imports	3			
2000	Germany	Demand	575			
2000	Greece	Fossil	49	92		
2000	Greece	Coal	34	64		
2000	Greece	Hard Coal	0	0		
2000	Greece	Lignite	34	64		
2000	Greece	Gas	6	11		
2000	Greece	Other fossil	9	17		
2000	Greece	Nuclear	0	0		
2000	Greece	Renewables	4	8		
2000	Greece	Hydro	4	7		
2000	Greece	Wind and solar	0	1		
2000	Greece	Wind	0	1		
2000	Greece	Solar	0	0		
2000	Greece	Bioenergy	0	0		
2000	Greece	Other renewables	0	0		
2000	Greece	Production	53			
2000	Greece	Net imports	0			
2000	Greece	Demand	53			
2000	Hungary	Fossil	21	59		
2000	Hungary	Coal	10	27		
2000	Hungary	Hard Coal	0	0		
2000	Hungary	Lignite	10	27		
2000	Hungary	Gas	7	19		
2000	Hungary	Other fossil	5	13		
2000	Hungary	Nuclear	14	40		
2000	Hungary	Renewables	0	1		
2000	Hungary	Hydro	0	1		
2000	Hungary	Wind and solar	0	0		
2000	Hungary	Wind	0	0		
2000	Hungary	Solar	0	0		
2000	Hungary	Bioenergy	0	0		
2000	Hungary	Other renewables	0	0		
2000	Hungary	Production	35			
2000	Hungary	Net imports	3			
2000	Hungary	Demand	39			
2000	Ireland	Fossil	22	95		
2000	Ireland	Coal	7	29		
2000	Ireland	Hard Coal	7	29		
2000	Ireland	Lignite	0	0		
2000	Ireland	Gas	9	39		
2000	Ireland	Other fossil	6	27		
2000	Ireland	Nuclear	0	0		
2000	Ireland	Renewables	1	5		
2000	Ireland	Hydro	1	4		
2000	Ireland	Wind and solar	0	1		
2000	Ireland	Wind	0	1		
2000	Ireland	Solar	0	0		
2000	Ireland	Bioenergy	0	0		
2000	Ireland	Other renewables	0	0		
2000	Ireland	Production	24			
2000	Ireland	Net imports	0			
2000	Ireland	Demand	24			
2000	Italy	Fossil	218	81		
2000	Italy	Coal	26	10		
2000	Italy	Hard Coal	26	10		
2000	Italy	Lignite	0	0		
2000	Italy	Gas	101	38		
2000	Italy	Other fossil	91	34		
2000	Italy	Nuclear	0	0		
2000	Italy	Renewables	51	19		
2000	Italy	Hydro	44	16		
2000	Italy	Wind and solar	1	0		
2000	Italy	Wind	1	0		
2000	Italy	Solar	0	0		
2000	Italy	Bioenergy	1	1		
2000	Italy	Other renewables	5	2		
2000	Italy	Production	269			
2000	Italy	Net imports	44			
2000	Italy	Demand	314			
2000	Latvia	Fossil	1	32		
2000	Latvia	Coal	0	0		
2000	Latvia	Hard Coal	0	0		
2000	Latvia	Lignite	0	0		
2000	Latvia	Gas	1	27		
2000	Latvia	Other fossil	0	4		
2000	Latvia	Nuclear	0	0		
2000	Latvia	Renewables	3	68		
2000	Latvia	Hydro	3	68		
2000	Latvia	Wind and solar	0	0		
2000	Latvia	Wind	0	0		
2000	Latvia	Solar	0	0		
2000	Latvia	Bioenergy	0	0		
2000	Latvia	Other renewables	0	0		
2000	Latvia	Production	4			
2000	Latvia	Net imports	2			
2000	Latvia	Demand	6			
2000	Lithuania	Fossil	2	21		
2000	Lithuania	Coal	0	0		
2000	Lithuania	Hard Coal	0	0		
2000	Lithuania	Lignite	0	0		
2000	Lithuania	Gas	2	15		
2000	Lithuania	Other fossil	1	6		
2000	Lithuania	Nuclear	8	76		
2000	Lithuania	Renewables	0	3		
2000	Lithuania	Hydro	0	3		
2000	Lithuania	Wind and solar	0	0		
2000	Lithuania	Wind	0	0		
2000	Lithuania	Solar	0	0		
2000	Lithuania	Bioenergy	0	0		
2000	Lithuania	Other renewables	0	0		
2000	Lithuania	Production	11			
2000	Lithuania	Net imports	-1			
2000	Lithuania	Demand	10			
2000	Luxembourg	Fossil	0	59		
2000	Luxembourg	Coal	0	0		
2000	Luxembourg	Hard Coal	0	0		
2000	Luxembourg	Lignite	0	0		
2000	Luxembourg	Gas	0	51		
2000	Luxembourg	Other fossil	0	8		
2000	Luxembourg	Nuclear	0	0		
2000	Luxembourg	Renewables	0	41		
2000	Luxembourg	Hydro	0	29		
2000	Luxembourg	Wind and solar	0	6		
2000	Luxembourg	Wind	0	6		
2000	Luxembourg	Solar	0	0		
2000	Luxembourg	Bioenergy	0	5		
2000	Luxembourg	Other renewables	0	0		
2000	Luxembourg	Production	0			
2000	Luxembourg	Net imports	6			
2000	Luxembourg	Demand	6			
2000	Malta	Fossil	2	100		
2000	Malta	Coal	0	0		
2000	Malta	Hard Coal	0	0		
2000	Malta	Lignite	0	0		
2000	Malta	Gas	0	0		
2000	Malta	Other fossil	2	100		
2000	Malta	Nuclear	0	0		
2000	Malta	Renewables	0	0		
2000	Malta	Hydro	0	0		
2000	Malta	Wind and solar	0	0		
2000	Malta	Wind	0	0		
2000	Malta	Solar	0	0		
2000	Malta	Bioenergy	0	0		
2000	Malta	Other renewables	0	0		
2000	Malta	Production	2			
2000	Malta	Net imports	0			
2000	Malta	Demand	2			
2000	Netherlands	Fossil	82	92		
2000	Netherlands	Coal	24	27		
2000	Netherlands	Hard Coal	24	27		
2000	Netherlands	Lignite	0	0		
2000	Netherlands	Gas	52	58		
2000	Netherlands	Other fossil	7	7		
2000	Netherlands	Nuclear	4	4		
2000	Netherlands	Renewables	3	3		
2000	Netherlands	Hydro	0	0		
2000	Netherlands	Wind and solar	1	1		
2000	Netherlands	Wind	1	1		
2000	Netherlands	Solar	0	0		
2000	Netherlands	Bioenergy	2	2		
2000	Netherlands	Other renewables	0	0		
2000	Netherlands	Production	89			
2000	Netherlands	Net imports	19			
2000	Netherlands	Demand	108			
2000	Poland	Fossil	141	98		
2000	Poland	Coal	136	95		
2000	Poland	Hard Coal	82	58		
2000	Poland	Lignite	53	37		
2000	Poland	Gas	1	1		
2000	Poland	Other fossil	4	3		
2000	Poland	Nuclear	0	0		
2000	Poland	Renewables	2	2		
2000	Poland	Hydro	2	1		
2000	Poland	Wind and solar	0	0		
2000	Poland	Wind	0	0		
2000	Poland	Solar	0	0		
2000	Poland	Bioenergy	0	0		
2000	Poland	Other renewables	0	0		
2000	Poland	Production	143			
2000	Poland	Net imports	-6			
2000	Poland	Demand	137			
2000	Portugal	Fossil	31	70		
2000	Portugal	Coal	15	34		
2000	Portugal	Hard Coal	15	34		
2000	Portugal	Lignite	0	0		
2000	Portugal	Gas	7	16		
2000	Portugal	Other fossil	9	20		
2000	Portugal	Nuclear	0	0		
2000	Portugal	Renewables	13	30		
2000	Portugal	Hydro	11	26		
2000	Portugal	Wind and solar	0	0		
2000	Portugal	Wind	0	0		
2000	Portugal	Solar	0	0		
2000	Portugal	Bioenergy	1	3		
2000	Portugal	Other renewables	0	0		
2000	Portugal	Production	43			
2000	Portugal	Net imports	1			
2000	Portugal	Demand	44			
2000	Romania	Fossil	31	61		
2000	Romania	Coal	19	37		
2000	Romania	Hard Coal	0	1		
2000	Romania	Lignite	19	36		
2000	Romania	Gas	9	17		
2000	Romania	Other fossil	3	7		
2000	Romania	Nuclear	5	11		
2000	Romania	Renewables	15	29		
2000	Romania	Hydro	15	29		
2000	Romania	Wind and solar	0	0		
2000	Romania	Wind	0	0		
2000	Romania	Solar	0	0		
2000	Romania	Bioenergy	0	0		
2000	Romania	Other renewables	0	0		
2000	Romania	Production	52			
2000	Romania	Net imports	-1			
2000	Romania	Demand	51			
2000	Slovakia	Fossil	10	31		
2000	Slovakia	Coal	6	18		
2000	Slovakia	Hard Coal	3	11		
2000	Slovakia	Lignite	2	7		
2000	Slovakia	Gas	3	11		
2000	Slovakia	Other fossil	1	2		
2000	Slovakia	Nuclear	16	54		
2000	Slovakia	Renewables	5	15		
2000	Slovakia	Hydro	5	15		
2000	Slovakia	Wind and solar	0	0		
2000	Slovakia	Wind	0	0		
2000	Slovakia	Solar	0	0		
2000	Slovakia	Bioenergy	0	0		
2000	Slovakia	Other renewables	0	0		
2000	Slovakia	Production	31			
2000	Slovakia	Net imports	-3			
2000	Slovakia	Demand	28			
2000	Slovenia	Fossil	5	36		
2000	Slovenia	Coal	5	34		
2000	Slovenia	Hard Coal	0	2		
2000	Slovenia	Lignite	4	32		
2000	Slovenia	Gas	0	2		
2000	Slovenia	Other fossil	0	0		
2000	Slovenia	Nuclear	5	35		
2000	Slovenia	Renewables	4	29		
2000	Slovenia	Hydro	4	28		
2000	Slovenia	Wind and solar	0	0		
2000	Slovenia	Wind	0	0		
2000	Slovenia	Solar	0	0		
2000	Slovenia	Bioenergy	0	1		
2000	Slovenia	Other renewables	0	0		
2000	Slovenia	Production	14			
2000	Slovenia	Net imports	-1			
2000	Slovenia	Demand	12			
2000	Spain	Fossil	124	56		
2000	Spain	Coal	79	36		
2000	Spain	Hard Coal	73	33		
2000	Spain	Lignite	6	3		
2000	Spain	Gas	20	9		
2000	Spain	Other fossil	25	11		
2000	Spain	Nuclear	62	28		
2000	Spain	Renewables	34	16		
2000	Spain	Hydro	28	13		
2000	Spain	Wind and solar	5	2		
2000	Spain	Wind	5	2		
2000	Spain	Solar	0	0		
2000	Spain	Bioenergy	1	1		
2000	Spain	Other renewables	0	0		
2000	Spain	Production	221			
2000	Spain	Net imports	4			
2000	Spain	Demand	225			
2000	Sweden	Fossil	5	3		
2000	Sweden	Coal	2	1		
2000	Sweden	Hard Coal	2	1		
2000	Sweden	Lignite	0	0		
2000	Sweden	Gas	0	0		
2000	Sweden	Other fossil	3	2		
2000	Sweden	Nuclear	57	39		
2000	Sweden	Renewables	83	57		
2000	Sweden	Hydro	79	54		
2000	Sweden	Wind and solar	0	0		
2000	Sweden	Wind	0	0		
2000	Sweden	Solar	0	0		
2000	Sweden	Bioenergy	4	3		
2000	Sweden	Other renewables	0	0		
2000	Sweden	Production	145			
2000	Sweden	Net imports	5			
2000	Sweden	Demand	150			
2000	United Kingdom	Fossil	279	75		
2000	United Kingdom	Coal	120	32		
2000	United Kingdom	Hard Coal	120	32		
2000	United Kingdom	Lignite	0	0		
2000	United Kingdom	Gas	148	40		
2000	United Kingdom	Other fossil	11	3		
2000	United Kingdom	Nuclear	85	23		
2000	United Kingdom	Renewables	10	3		
2000	United Kingdom	Hydro	5	1		
2000	United Kingdom	Wind and solar	1	0		
2000	United Kingdom	Wind	1	0		
2000	United Kingdom	Solar	0	0		
2000	United Kingdom	Bioenergy	4	1		
2000	United Kingdom	Other renewables	0	0		
2000	United Kingdom	Production	374			
2000	United Kingdom	Net imports	14			
2000	United Kingdom	Demand	389			
2001	Austria	Fossil	19	31	15	2
2001	Austria	Coal	7	11	20	1
2001	Austria	Hard Coal	5	9	19	1
2001	Austria	Lignite	2	3	23	0
2001	Austria	Gas	9	14	11	1
2001	Austria	Other fossil	3	5	12	0
2001	Austria	Nuclear	0	0		0
2001	Austria	Renewables	42	69	-3	-1
2001	Austria	Hydro	40	66	-3	-1
2001	Austria	Wind and solar	0	0	57	0
2001	Austria	Wind	0	0	57	0
2001	Austria	Solar	0	0	65	0
2001	Austria	Bioenergy	2	3	9	0
2001	Austria	Other renewables	0	0		0
2001	Austria	Production	61		2	1
2001	Austria	Net imports	0		-116	2
2001	Austria	Demand	61		5	3
2001	Belgium	Fossil	31	40	-7	-2
2001	Belgium	Coal	10	13	-23	-3
2001	Belgium	Hard Coal	10	13	-23	-3
2001	Belgium	Lignite	0	0		0
2001	Belgium	Gas	16	20	-1	0
2001	Belgium	Other fossil	5	7	17	1
2001	Belgium	Nuclear	46	59	-4	-2
2001	Belgium	Renewables	1	1	3	0
2001	Belgium	Hydro	0	1	-4	0
2001	Belgium	Wind and solar	0	0	131	0
2001	Belgium	Wind	0	0	131	0
2001	Belgium	Solar	0	0		0
2001	Belgium	Bioenergy	1	1	5	0
2001	Belgium	Other renewables	0	0		0
2001	Belgium	Production	79		-5	-4
2001	Belgium	Net imports	9		110	5
2001	Belgium	Demand	88		1	1
2001	Bulgaria	Fossil	22	51	12	2
2001	Bulgaria	Coal	19	45	15	3
2001	Bulgaria	Hard Coal	4	10	50	1
2001	Bulgaria	Lignite	15	35	8	1
2001	Bulgaria	Gas	2	4	0	0
2001	Bulgaria	Other fossil	1	2	-11	0
2001	Bulgaria	Nuclear	20	45	8	1
2001	Bulgaria	Renewables	2	4	-37	-1
2001	Bulgaria	Hydro	2	4	-37	-1
2001	Bulgaria	Wind and solar	0	0		0
2001	Bulgaria	Wind	0	0		0
2001	Bulgaria	Solar	0	0		0
2001	Bulgaria	Bioenergy	0	0		0
2001	Bulgaria	Other renewables	0	0		0
2001	Bulgaria	Production	43		7	3
2001	Bulgaria	Net imports	-7		50	-2
2001	Bulgaria	Demand	37		1	1
2001	Croatia	Fossil	6	44	16	1
2001	Croatia	Coal	2	13	6	0
2001	Croatia	Hard Coal	2	13	5	0
2001	Croatia	Lignite	0	0	160	0
2001	Croatia	Gas	2	14	16	0
2001	Croatia	Other fossil	2	17	26	0
2001	Croatia	Nuclear	0	0		0
2001	Croatia	Renewables	7	56	11	1
2001	Croatia	Hydro	7	56	11	1
2001	Croatia	Wind and solar	0	0		0
2001	Croatia	Wind	0	0		0
2001	Croatia	Solar	0	0		0
2001	Croatia	Bioenergy	0	0	-100	0
2001	Croatia	Other renewables	0	0		0
2001	Croatia	Production	13		13	2
2001	Croatia	Net imports	3		-26	-1
2001	Croatia	Demand	15		4	1
2001	Cyprus	Fossil	4	100	5	0
2001	Cyprus	Coal	0	0		0
2001	Cyprus	Hard Coal	0	0		0
2001	Cyprus	Lignite	0	0		0
2001	Cyprus	Gas	0	0		0
2001	Cyprus	Other fossil	4	100	5	0
2001	Cyprus	Nuclear	0	0		0
2001	Cyprus	Renewables	0	0		0
2001	Cyprus	Hydro	0	0		0
2001	Cyprus	Wind and solar	0	0		0
2001	Cyprus	Wind	0	0		0
2001	Cyprus	Solar	0	0		0
2001	Cyprus	Bioenergy	0	0		0
2001	Cyprus	Other renewables	0	0		0
2001	Cyprus	Production	4		5	0
2001	Cyprus	Net imports	0			0
2001	Cyprus	Demand	4		5	0
2001	Czech Republic	Fossil	57	77	0	0
2001	Czech Republic	Coal	53	71	0	0
2001	Czech Republic	Hard Coal	6	8	3	0
2001	Czech Republic	Lignite	47	63	-1	0
2001	Czech Republic	Gas	2	2	-7	0
2001	Czech Republic	Other fossil	3	4	5	0
2001	Czech Republic	Nuclear	15	20	9	1
2001	Czech Republic	Renewables	3	3	13	0
2001	Czech Republic	Hydro	2	3	17	0
2001	Czech Republic	Wind and solar	0	0	-91	0
2001	Czech Republic	Wind	0	0	-100	0
2001	Czech Republic	Solar	0	0	62	0
2001	Czech Republic	Bioenergy	1	1	0	0
2001	Czech Republic	Other renewables	0	0		0
2001	Czech Republic	Production	74		2	1
2001	Czech Republic	Net imports	-10		-5	0
2001	Czech Republic	Demand	65		3	2
2001	Denmark	Fossil	32	84	5	1
2001	Denmark	Coal	18	47	7	1
2001	Denmark	Hard Coal	18	47	7	1
2001	Denmark	Lignite	0	0		0
2001	Denmark	Gas	9	25	6	0
2001	Denmark	Other fossil	5	13	-4	0
2001	Denmark	Nuclear	0	0		0
2001	Denmark	Renewables	6	16	5	0
2001	Denmark	Hydro	0	0	-7	0
2001	Denmark	Wind and solar	4	11	2	0
2001	Denmark	Wind	4	11	2	0
2001	Denmark	Solar	0	0	0	0
2001	Denmark	Bioenergy	2	4	16	0
2001	Denmark	Other renewables	0	0		0
2001	Denmark	Production	38		5	2
2001	Denmark	Net imports	-1		-186	-1
2001	Denmark	Demand	37		1	0
2001	Estonia	Fossil	8	100	0	0
2001	Estonia	Coal	0	0		0
2001	Estonia	Hard Coal	0	0		0
2001	Estonia	Lignite	0	0		0
2001	Estonia	Gas	1	7	1	0
2001	Estonia	Other fossil	8	93	0	0
2001	Estonia	Nuclear	0	0		0
2001	Estonia	Renewables	0	0	-1	0
2001	Estonia	Hydro	0	0	40	0
2001	Estonia	Wind and solar	0	0		0
2001	Estonia	Wind	0	0		0
2001	Estonia	Solar	0	0		0
2001	Estonia	Bioenergy	0	0	-17	0
2001	Estonia	Other renewables	0	0		0
2001	Estonia	Production	8		0	0
2001	Estonia	Net imports	-1		-33	0
2001	Estonia	Demand	8		4	0
2001	EU-27	Fossil	1378	51	1	20
2001	EU-27	Coal	792	29	0	-3
2001	EU-27	Hard Coal	442	16	-3	-13
2001	EU-27	Lignite	350	13	3	10
2001	EU-27	Gas	351	13	7	23
2001	EU-27	Other fossil	234	9	0	-1
2001	EU-27	Nuclear	889	33	3	29
2001	EU-27	Renewables	439	16	7	28
2001	EU-27	Hydro	376	14	6	21
2001	EU-27	Wind and solar	26	1	21	4
2001	EU-27	Wind	26	1	20	4
2001	EU-27	Solar	0	0	76	0
2001	EU-27	Bioenergy	33	1	11	3
2001	EU-27	Other renewables	5	0	-4	0
2001	EU-27	Production	2706		3	77
2001	EU-27	Net imports	-8		-194	-17
2001	EU-27	Demand	2698		2	59
2001	EU27+1	Fossil	1661	54	1	23
2001	EU27+1	Coal	924	30	1	9
2001	EU27+1	Hard Coal	574	19	0	-1
2001	EU27+1	Lignite	350	11	3	10
2001	EU27+1	Gas	493	16	4	17
2001	EU27+1	Other fossil	243	8	-1	-3
2001	EU27+1	Nuclear	979	32	4	34
2001	EU27+1	Renewables	449	15	7	28
2001	EU27+1	Hydro	380	12	5	20
2001	EU27+1	Wind and solar	27	1	20	4
2001	EU27+1	Wind	27	1	20	4
2001	EU27+1	Solar	0	0	77	0
2001	EU27+1	Bioenergy	37	1	12	4
2001	EU27+1	Other renewables	5	0	-4	0
2001	EU27+1	Production	3088		3	85
2001	EU27+1	Net imports	2		-91	-21
2001	EU27+1	Demand	3090		2	64
2001	Finland	Fossil	30	40	25	6
2001	Finland	Coal	11	14	25	2
2001	Finland	Hard Coal	11	14	25	2
2001	Finland	Lignite	0	0		0
2001	Finland	Gas	12	16	15	2
2001	Finland	Other fossil	8	10	45	2
2001	Finland	Nuclear	23	31	1	0
2001	Finland	Renewables	22	29	-8	-2
2001	Finland	Hydro	13	18	-10	-1
2001	Finland	Wind and solar	0	0	-10	0
2001	Finland	Wind	0	0	-10	0
2001	Finland	Solar	0	0	9	0
2001	Finland	Bioenergy	8	11	-4	0
2001	Finland	Other renewables	0	0		0
2001	Finland	Production	74		6	5
2001	Finland	Net imports	10		-16	-2
2001	Finland	Demand	84		3	3
2001	France	Fossil	46	9	-8	-4
2001	France	Coal	20	4	-24	-7
2001	France	Hard Coal	20	4	-25	-7
2001	France	Lignite	0	0	-2	0
2001	France	Gas	15	3	32	4
2001	France	Other fossil	11	2	-10	-1
2001	France	Nuclear	421	77	1	6
2001	France	Renewables	78	14	12	8
2001	France	Hydro	74	14	12	8
2001	France	Wind and solar	0	0	157	0
2001	France	Wind	0	0	173	0
2001	France	Solar	0	0	18	0
2001	France	Bioenergy	3	1	15	0
2001	France	Other renewables	0	0	-4	0
2001	France	Production	545		2	10
2001	France	Net imports	-68		-2	1
2001	France	Demand	477		2	11
2001	Germany	Fossil	372	64	2	7
2001	Germany	Coal	293	50	1	2
2001	Germany	Hard Coal	138	24	-3	-5
2001	Germany	Lignite	155	27	4	7
2001	Germany	Gas	56	10	13	6
2001	Germany	Other fossil	23	4	-4	-1
2001	Germany	Nuclear	171	29	1	2
2001	Germany	Renewables	39	7	3	1
2001	Germany	Hydro	23	4	-7	-2
2001	Germany	Wind and solar	11	2	11	1
2001	Germany	Wind	11	2	11	1
2001	Germany	Solar	0	0	150	0
2001	Germany	Bioenergy	5	1	53	2
2001	Germany	Other renewables	0	0		0
2001	Germany	Production	582		2	10
2001	Germany	Net imports	-1		-142	-4
2001	Germany	Demand	581		1	6
2001	Greece	Fossil	50	94	2	1
2001	Greece	Coal	35	67	3	1
2001	Greece	Hard Coal	0	0	-57	0
2001	Greece	Lignite	35	67	3	1
2001	Greece	Gas	6	12	4	0
2001	Greece	Other fossil	9	16	-5	0
2001	Greece	Nuclear	0	0		0
2001	Greece	Renewables	3	6	-29	-1
2001	Greece	Hydro	2	4	-43	-2
2001	Greece	Wind and solar	1	1	68	0
2001	Greece	Wind	1	1	68	0
2001	Greece	Solar	0	0		0
